timestamp,dataset,model,model_type,run_type,metric,transform,transform_param,score
20241028_192615,imagenet,mvit,transformer,PT,test_accuracy_macro,channel_shuffle,6,0.754199743270874
20241028_132859,caltech,efficientnet,cnn,NT,test_accuracy_macro,patch_shuffle,11,0.049472566694021225
20241028_110359,bigearthnet,convnext,cnn,NT,test_mAP_macro,gaussian,0.0,0.6616849899291992
20241028_153401,rgb_bigearthnet,convmixer,transformer,NT,test_mAP_macro,patch_shuffle,4,0.5844542384147644
20241028_122351,bigearthnet,mobilenet,cnn,NT,test_mAP_macro,gaussian,9.0,0.41438302397727966
20241028_112957,deepglobe,mobilenet,cnn,NT,test_mAP_macro,channel_shuffle,6,0.33886194229125977
20241028_133302,bigearthnet,vit,transformer,NT,test_mAP_macro,median,5,0.6717617511749268
20241028_165357,caltech_120,cait,transformer,NT,test_accuracy_macro,patch_rotation,2,0.32045993208885193
20241028_125752,rgb_bigearthnet,inception,cnn,NT,test_mAP_macro,gaussian,15.0,0.21255287528038025
20241007_172417,deepglobe,vit,transformer,ST,test_mAP_macro,,,
20241028_145728,bigearthnet,pit,transformer,NT,test_mAP_macro,gaussian,2.0,0.6490788459777832
20241028_105504,deepglobe,regnet,cnn,NT,test_mAP_macro,patch_shuffle,1,0.6794567108154297
20241028_112548,deepglobe,mobilenet,cnn,NT,test_mAP_macro,gaussian,3.0,0.40500402450561523
20241028_145303,caltech,cait,transformer,NT,test_accuracy_macro,patch_rotation,11,0.3669595718383789
20241028_163022,caltech_120,inception,cnn,NT,test_accuracy_macro,patch_rotation,11,0.3239557445049286
20241028_141138,caltech,xception,cnn,NT,test_accuracy_macro,patch_shuffle,15,0.08533147722482681
20241028_113124,deepglobe,mobilenet,cnn,NT,test_mAP_macro,greyscale,0,0.5594072341918945
20241028_150158,caltech,pvt,transformer,NT,test_accuracy_macro,channel_inversion,2,0.0780506581068039
20241028_111030,deepglobe,densenet,cnn,NT,test_mAP_macro,channel_inversion,3,0.24846410751342773
20241028_165743,caltech_120,pvt,transformer,NT,test_accuracy_macro,median,3,0.6842963099479675
20241028_132907,caltech,efficientnet,cnn,NT,test_accuracy_macro,patch_shuffle,15,0.03878883644938469
20241028_145124,caltech,cait,transformer,NT,test_accuracy_macro,patch_shuffle,4,0.3720369338989258
20241028_150147,bigearthnet,pit,transformer,NT,test_mAP_macro,patch_rotation,1,0.6515209674835205
20241028_153907,rgb_bigearthnet,convmixer,transformer,NT,test_mAP_macro,channel_shuffle,0,0.6078516840934753
20241028_160100,imagenet,deit,transformer,PT,test_accuracy_macro,gaussian,3.0,0.4078095257282257
